Category,Product,Unit_Price,Order_Date,City,Sales_Channel,Units_Sold,Stock_Available,Total_Sales
Books,Fiction Novel,589,2024-07-30 04:00:00,Jalandhar,Offline,2,56,1178
Books,Biography,804,2024-07-30 05:00:00,Mohali,Online,5,133,4020
Gardening,Plant Pots,395,2024-07-30 06:00:00,Ludhiana,Online,8,36,3160
Footwear,Heels,1299,2024-07-30 07:00:00,Mohali,Online,4,166,5196
Stationery,Art Colors,1480,2024-07-30 08:00:00,Amritsar,Online,11,64,16280
Footwear,Boots,1689,2024-07-30 09:00:00,Delhi,Offline,5,13,8445
Kitchen Tools,Air Fryer,5184,2024-07-30 10:00:00,Chandigarh,Online,3,20,15552
Home Decor,Vase,643,2024-07-30 11:00:00,Noida,Offline,7,183,4501
Fitness Gear,Dumbbells,4152,2024-07-30 12:00:00,Gurugram,Online,13,163,53976
Automotive,Seat Cover,7258,2024-07-30 13:00:00,Delhi,Online,3,26,21774
Beauty & Personal Care,Trimmer,1345,2024-07-30 14:00:00,Noida,Online,9,24,12105
Women Clothing,Jeans,1358,2024-07-30 15:00:00,Ludhiana,Offline,8,180,10864
Fitness Gear,Cycling Machine,9021,2024-07-30 16:00:00,Mohali,Online,4,42,36084
Books,Fiction Novel,589,2024-07-30 17:00:00,Chandigarh,Online,9,193,5301
Stationery,Stapler,108,2024-07-30 18:00:00,Ludhiana,Offline,14,90,1512
Furniture,Bedside Table,2485,2024-07-30 19:00:00,Jalandhar,Online,12,52,29820
Automotive,Microfiber Cloth,180,2024-07-30 20:00:00,Patiala,Online,4,113,720
Stationery,Calculator,514,2024-07-30 21:00:00,Ludhiana,Online,13,127,6682
Home Decor,Curtains,819,2024-07-30 22:00:00,Delhi,Online,11,43,9009
Books,Mystery,505,2024-07-30 23:00:00,Mohali,Offline,5,66,2525
Beauty & Personal Care,Face Wash,465,2024-07-31 00:00:00,Jalandhar,Online,1,30,465
Home Decor,Photo Frame,220,2024-07-31 01:00:00,Jalandhar,Offline,14,165,3080
Women Clothing,Handbag,699,2024-07-31 02:00:00,Jalandhar,Offline,5,153,3495
Toys & Games,Puzzle,601,2024-07-31 03:00:00,Gurugram,Online,13,98,7813
Stationery,Whiteboard,2367,2024-07-31 04:00:00,Gurugram,Offline,2,155,4734
Toys & Games,Remote Car,3777,2024-07-31 05:00:00,Jalandhar,Offline,10,33,37770
Automotive,Car Vacuum,3527,2024-07-31 06:00:00,Delhi,Offline,12,198,42324
Men Clothing,Jeans,1235,2024-07-31 07:00:00,Mohali,Offline,4,149,4940
Electronics,Headphones,3391,2024-07-31 08:00:00,Ludhiana,Online,4,21,13564
Toys & Games,Board Game,1102,2024-07-31 09:00:00,Gurugram,Online,10,76,11020
Furniture,Bedside Table,2485,2024-07-31 10:00:00,Delhi,Offline,9,151,22365
Footwear,Loafers,2362,2024-07-31 11:00:00,Jalandhar,Offline,14,190,33068
Women Clothing,Saree,1021,2024-07-31 12:00:00,Amritsar,Online,8,151,8168
Automotive,Helmet,1391,2024-07-31 13:00:00,Jalandhar,Offline,3,153,4173
Furniture,Dining Chair,689,2024-07-31 14:00:00,Delhi,Offline,3,124,2067
Footwear,Sandals,1110,2024-07-31 15:00:00,Amritsar,Online,1,137,1110
Men Clothing,Shirt,402,2024-07-31 16:00:00,Jalandhar,Online,6,94,2412
Kitchen Tools,Juicer,1747,2024-07-31 17:00:00,Noida,Online,10,98,17470
Electronics,Smartphone,70263,2024-07-31 18:00:00,Noida,Online,5,84,351315
Stationery,Calculator,514,2024-07-31 19:00:00,Jalandhar,Online,11,69,5654
Automotive,Car Perfume,262,2024-07-31 20:00:00,Noida,Online,2,34,524
Stationery,Pen Pack,592,2024-07-31 21:00:00,Patiala,Online,7,25,4144
Toys & Games,Soft Toy,1295,2024-07-31 22:00:00,Delhi,Online,13,120,16835
Furniture,Shoe Rack,2275,2024-07-31 23:00:00,Jalandhar,Offline,12,12,27300
Women Clothing,Jeans,1358,2024-08-01 00:00:00,Noida,Offline,12,78,16296
Automotive,Helmet,1391,2024-08-01 01:00:00,Ludhiana,Online,9,38,12519
Beauty & Personal Care,Face Wash,465,2024-08-01 02:00:00,Delhi,Offline,6,125,2790
Toys & Games,Doll House,1661,2024-08-01 03:00:00,Gurugram,Online,3,186,4983
Beauty & Personal Care,Face Wash,465,2024-08-01 04:00:00,Gurugram,Online,2,66,930
Men Clothing,T-Shirt,492,2024-08-01 05:00:00,Ludhiana,Online,12,93,5904
Books,Biography,804,2024-08-01 06:00:00,Ludhiana,Online,3,12,2412
Women Clothing,Handbag,699,2024-08-01 07:00:00,Patiala,Offline,4,83,2796
Toys & Games,Puzzle,601,2024-08-01 08:00:00,Gurugram,Offline,11,94,6611
Gardening,Fertilizer,991,2024-08-01 09:00:00,Amritsar,Online,4,86,3964
Gardening,Pruning Shears,1063,2024-08-01 10:00:00,Noida,Online,7,130,7441
Furniture,Dining Chair,689,2024-08-01 11:00:00,Mohali,Online,11,74,7579
Electronics,Speaker,7311,2024-08-01 12:00:00,Delhi,Online,12,179,87732
Electronics,Speaker,7311,2024-08-01 13:00:00,Noida,Offline,5,9,36555
Fitness Gear,Yoga Mat,961,2024-08-01 14:00:00,Jalandhar,Offline,5,185,4805
Books,Business,766,2024-08-01 15:00:00,Patiala,Offline,4,50,3064
Furniture,Bookshelf,2794,2024-08-01 16:00:00,Delhi,Online,1,145,2794
Beauty & Personal Care,Trimmer,1345,2024-08-01 17:00:00,Delhi,Online,7,62,9415
Kitchen Tools,Air Fryer,5184,2024-08-01 18:00:00,Delhi,Offline,1,96,5184
Footwear,Sandals,1110,2024-08-01 19:00:00,Delhi,Offline,8,113,8880
Home Decor,Curtains,819,2024-08-01 20:00:00,Mohali,Online,10,68,8190
Men Clothing,T-Shirt,492,2024-08-01 21:00:00,Mohali,Online,14,117,6888
Home Decor,Wall Clock,966,2024-08-01 22:00:00,Noida,Offline,1,87,966
Gardening,Plant Pots,395,2024-08-01 23:00:00,Chandigarh,Offline,8,165,3160
Automotive,Car Vacuum,3527,2024-08-02 00:00:00,Ludhiana,Online,8,132,28216
Furniture,Bean Bag,1455,2024-08-02 01:00:00,Delhi,Offline,3,122,4365
Stationery,Notebook Set,579,2024-08-02 02:00:00,Mohali,Offline,5,134,2895
Kitchen Tools,Blender,1844,2024-08-02 03:00:00,Mohali,Offline,4,9,7376
Stationery,Art Colors,1480,2024-08-02 04:00:00,Noida,Offline,3,99,4440
Electronics,Smartwatch,2269,2024-08-02 05:00:00,Jalandhar,Online,3,8,6807
Men Clothing,Shorts,488,2024-08-02 06:00:00,Gurugram,Offline,6,23,2928
Footwear,Sandals,1110,2024-08-02 07:00:00,Mohali,Online,4,27,4440
Toys & Games,Action Figure,2000,2024-08-02 08:00:00,Patiala,Online,8,51,16000
Books,Mystery,505,2024-08-02 09:00:00,Noida,Offline,9,89,4545
Automotive,Helmet,1391,2024-08-02 10:00:00,Chandigarh,Online,6,60,8346
Toys & Games,Cricket Bat,1069,2024-08-02 11:00:00,Ludhiana,Online,11,163,11759
Footwear,Sandals,1110,2024-08-02 12:00:00,Noida,Online,6,40,6660
Beauty & Personal Care,Face Wash,465,2024-08-02 13:00:00,Delhi,Online,13,71,6045
Men Clothing,Shorts,488,2024-08-02 14:00:00,Delhi,Online,12,165,5856
Gardening,Artificial Grass,716,2024-08-02 15:00:00,Chandigarh,Offline,8,88,5728
Furniture,Bedside Table,2485,2024-08-02 16:00:00,Jalandhar,Offline,11,183,27335
Kitchen Tools,Mixer Grinder,2276,2024-08-02 17:00:00,Noida,Online,9,138,20484
Home Decor,Vase,643,2024-08-02 18:00:00,Delhi,Offline,11,60,7073
Toys & Games,Remote Car,3777,2024-08-02 19:00:00,Amritsar,Online,5,14,18885
Toys & Games,Lego Set,5297,2024-08-02 20:00:00,Delhi,Offline,11,85,58267
Automotive,Car Vacuum,3527,2024-08-02 21:00:00,Patiala,Online,8,105,28216
Stationery,Stapler,108,2024-08-02 22:00:00,Noida,Offline,4,193,432
Footwear,Loafers,2362,2024-08-02 23:00:00,Amritsar,Online,10,101,23620
Furniture,Dining Chair,689,2024-08-03 00:00:00,Delhi,Online,6,158,4134
Men Clothing,Jacket,1994,2024-08-03 01:00:00,Amritsar,Online,9,197,17946
Home Decor,Photo Frame,220,2024-08-03 02:00:00,Delhi,Online,1,67,220
Toys & Games,Action Figure,2000,2024-08-03 03:00:00,Noida,Offline,2,38,4000
Footwear,Sneakers,848,2024-08-03 04:00:00,Ludhiana,Online,8,103,6784
Men Clothing,Jacket,1994,2024-08-03 05:00:00,Chandigarh,Offline,10,29,19940
Footwear,Running Shoes,1782,2024-08-03 06:00:00,Amritsar,Online,6,198,10692
Gardening,Watering Can,281,2024-08-03 07:00:00,Gurugram,Offline,4,48,1124
Men Clothing,Shorts,488,2024-08-03 08:00:00,Patiala,Online,14,193,6832
Furniture,Bedside Table,2485,2024-08-03 09:00:00,Noida,Online,14,156,34790
Men Clothing,Shorts,488,2024-08-03 10:00:00,Chandigarh,Online,11,175,5368
Men Clothing,Jeans,1235,2024-08-03 11:00:00,Noida,Online,12,89,14820
Electronics,Tablet,16685,2024-08-03 12:00:00,Amritsar,Online,8,66,133480
Stationery,Calculator,514,2024-08-03 13:00:00,Noida,Online,2,142,1028
Gardening,Watering Can,281,2024-08-03 14:00:00,Noida,Online,2,83,562
Home Decor,Wall Painting,1146,2024-08-03 15:00:00,Amritsar,Offline,9,156,10314
Gardening,Artificial Grass,716,2024-08-03 16:00:00,Jalandhar,Offline,7,67,5012
Gardening,Hose Pipe,587,2024-08-03 17:00:00,Jalandhar,Offline,7,44,4109
Fitness Gear,Jump Rope,589,2024-08-03 18:00:00,Patiala,Online,2,69,1178
Gardening,Hose Pipe,587,2024-08-03 19:00:00,Amritsar,Offline,8,10,4696
Fitness Gear,Dumbbells,4152,2024-08-03 20:00:00,Patiala,Online,7,196,29064
Stationery,Pen Pack,592,2024-08-03 21:00:00,Amritsar,Online,12,155,7104
Footwear,Sneakers,848,2024-08-03 22:00:00,Jalandhar,Online,10,141,8480
Electronics,Smartphone,70263,2024-08-03 23:00:00,Patiala,Online,11,69,772893
Toys & Games,Lego Set,5297,2024-08-04 00:00:00,Gurugram,Offline,7,193,37079
Toys & Games,Cricket Bat,1069,2024-08-04 01:00:00,Patiala,Online,9,95,9621
Automotive,Car Wax,718,2024-08-04 02:00:00,Mohali,Online,14,97,10052
Fitness Gear,Yoga Mat,961,2024-08-04 03:00:00,Jalandhar,Offline,4,41,3844
Kitchen Tools,Air Fryer,5184,2024-08-04 04:00:00,Patiala,Online,1,185,5184
Fitness Gear,Jump Rope,589,2024-08-04 05:00:00,Amritsar,Offline,9,198,5301
Home Decor,Wall Clock,966,2024-08-04 06:00:00,Gurugram,Online,2,47,1932
Books,Biography,804,2024-08-04 07:00:00,Gurugram,Online,10,145,8040
Women Clothing,Top,766,2024-08-04 08:00:00,Patiala,Offline,4,140,3064
Men Clothing,Trousers,806,2024-08-04 09:00:00,Gurugram,Online,11,41,8866
Automotive,Car Wax,718,2024-08-04 10:00:00,Chandigarh,Online,9,140,6462
Fitness Gear,Protein Shaker,405,2024-08-04 11:00:00,Noida,Online,13,117,5265
Women Clothing,Top,766,2024-08-04 12:00:00,Chandigarh,Online,11,58,8426
Fitness Gear,Cycling Machine,9021,2024-08-04 13:00:00,Mohali,Online,8,100,72168
Home Decor,Wall Clock,966,2024-08-04 14:00:00,Jalandhar,Online,11,193,10626
Stationery,Pen Pack,592,2024-08-04 15:00:00,Patiala,Online,7,16,4144
Stationery,Whiteboard,2367,2024-08-04 16:00:00,Gurugram,Online,13,33,30771
Furniture,Dining Chair,689,2024-08-04 17:00:00,Delhi,Online,7,149,4823
Home Decor,Curtains,819,2024-08-04 18:00:00,Amritsar,Online,12,51,9828
Home Decor,Mirror,1840,2024-08-04 19:00:00,Chandigarh,Offline,13,134,23920
Books,Academic,634,2024-08-04 20:00:00,Patiala,Online,14,50,8876
Stationery,Backpack,1952,2024-08-04 21:00:00,Ludhiana,Online,9,124,17568
Men Clothing,Shirt,402,2024-08-04 22:00:00,Gurugram,Online,4,127,1608
Kitchen Tools,Knife Set,357,2024-08-04 23:00:00,Chandigarh,Offline,8,140,2856
Furniture,TV Unit,6016,2024-08-05 00:00:00,Jalandhar,Online,9,196,54144
Kitchen Tools,Air Fryer,5184,2024-08-05 01:00:00,Amritsar,Offline,4,48,20736
Books,Cookbook,1455,2024-08-05 02:00:00,Patiala,Offline,11,43,16005
Footwear,Running Shoes,1782,2024-08-05 03:00:00,Gurugram,Offline,10,18,17820
Electronics,Smartphone,70263,2024-08-05 04:00:00,Noida,Offline,11,85,772893
Toys & Games,Puzzle,601,2024-08-05 05:00:00,Amritsar,Offline,1,155,601
Books,Children Story,463,2024-08-05 06:00:00,Chandigarh,Offline,1,25,463
Toys & Games,Cricket Bat,1069,2024-08-05 07:00:00,Chandigarh,Offline,1,105,1069
Automotive,Tyre Inflator,3495,2024-08-05 08:00:00,Jalandhar,Online,7,103,24465
Kitchen Tools,Mixer Grinder,2276,2024-08-05 09:00:00,Gurugram,Online,12,178,27312
Furniture,Office Chair,4886,2024-08-05 10:00:00,Ludhiana,Offline,3,25,14658
Fitness Gear,Jump Rope,589,2024-08-05 11:00:00,Gurugram,Online,2,84,1178
Gardening,Hose Pipe,587,2024-08-05 12:00:00,Gurugram,Online,5,140,2935
Footwear,Heels,1299,2024-08-05 13:00:00,Gurugram,Offline,6,21,7794
Books,Cookbook,1455,2024-08-05 14:00:00,Mohali,Online,3,118,4365
Automotive,Car Vacuum,3527,2024-08-05 15:00:00,Gurugram,Offline,11,128,38797
Gardening,Seeds Pack,262,2024-08-05 16:00:00,Jalandhar,Online,14,29,3668
Automotive,Car Wax,718,2024-08-05 17:00:00,Delhi,Online,12,32,8616
Fitness Gear,Resistance Bands,687,2024-08-05 18:00:00,Jalandhar,Online,8,46,5496
Gardening,Watering Can,281,2024-08-05 19:00:00,Patiala,Offline,9,185,2529
Women Clothing,Handbag,699,2024-08-05 20:00:00,Chandigarh,Offline,6,38,4194
Toys & Games,Action Figure,2000,2024-08-05 21:00:00,Amritsar,Online,3,41,6000
Kitchen Tools,Induction Cooktop,2021,2024-08-05 22:00:00,Patiala,Online,10,187,20210
Footwear,Sneakers,848,2024-08-05 23:00:00,Delhi,Online,5,173,4240
Footwear,Sneakers,848,2024-08-06 00:00:00,Jalandhar,Offline,10,194,8480
Gardening,Artificial Grass,716,2024-08-06 01:00:00,Delhi,Offline,2,23,1432
Women Clothing,Lehenga,9426,2024-08-06 02:00:00,Jalandhar,Online,2,110,18852
Gardening,Plant Pots,395,2024-08-06 03:00:00,Patiala,Online,5,83,1975
Home Decor,Photo Frame,220,2024-08-06 04:00:00,Noida,Online,4,6,880
Furniture,Shoe Rack,2275,2024-08-06 05:00:00,Mohali,Online,3,144,6825
Beauty & Personal Care,Lipstick,687,2024-08-06 06:00:00,Ludhiana,Online,4,49,2748
Automotive,Car Wax,718,2024-08-06 07:00:00,Patiala,Online,13,119,9334
Home Decor,Cushion Covers,350,2024-08-06 08:00:00,Noida,Online,13,84,4550
Books,Fiction Novel,589,2024-08-06 09:00:00,Delhi,Online,4,165,2356
Books,Academic,634,2024-08-06 10:00:00,Patiala,Offline,13,117,8242
Electronics,Tablet,16685,2024-08-06 11:00:00,Noida,Online,4,87,66740
Kitchen Tools,Toaster,1659,2024-08-06 12:00:00,Ludhiana,Online,13,110,21567
Automotive,Microfiber Cloth,180,2024-08-06 13:00:00,Mohali,Offline,13,67,2340
Home Decor,Wall Painting,1146,2024-08-06 14:00:00,Ludhiana,Offline,6,131,6876
Women Clothing,Top,766,2024-08-06 15:00:00,Delhi,Offline,7,14,5362
Kitchen Tools,Kettle,1252,2024-08-06 16:00:00,Delhi,Offline,4,136,5008
Toys & Games,Board Game,1102,2024-08-06 17:00:00,Gurugram,Offline,4,167,4408
Gardening,Fertilizer,991,2024-08-06 18:00:00,Chandigarh,Offline,10,172,9910
Automotive,Tyre Inflator,3495,2024-08-06 19:00:00,Gurugram,Offline,14,41,48930
Footwear,Loafers,2362,2024-08-06 20:00:00,Gurugram,Online,9,19,21258
Women Clothing,Kurti,387,2024-08-06 21:00:00,Chandigarh,Online,11,148,4257
Electronics,Monitor,10433,2024-08-06 22:00:00,Gurugram,Online,3,137,31299
Footwear,Sandals,1110,2024-08-06 23:00:00,Amritsar,Offline,13,70,14430
Furniture,Bean Bag,1455,2024-08-07 00:00:00,Noida,Online,9,182,13095
Stationery,Art Colors,1480,2024-08-07 01:00:00,Patiala,Offline,3,78,4440
Beauty & Personal Care,Trimmer,1345,2024-08-07 02:00:00,Jalandhar,Online,2,83,2690
Footwear,Running Shoes,1782,2024-08-07 03:00:00,Ludhiana,Offline,11,143,19602
Electronics,Tablet,16685,2024-08-07 04:00:00,Noida,Online,5,189,83425
Automotive,Microfiber Cloth,180,2024-08-07 05:00:00,Ludhiana,Online,3,152,540
Home Decor,Mirror,1840,2024-08-07 06:00:00,Jalandhar,Online,7,143,12880
Footwear,Sneakers,848,2024-08-07 07:00:00,Chandigarh,Offline,7,39,5936
Toys & Games,Action Figure,2000,2024-08-07 08:00:00,Jalandhar,Online,1,132,2000
Beauty & Personal Care,Lipstick,687,2024-08-07 09:00:00,Chandigarh,Online,10,176,6870
Stationery,Art Colors,1480,2024-08-07 10:00:00,Amritsar,Offline,12,132,17760
Gardening,Seeds Pack,262,2024-08-07 11:00:00,Ludhiana,Offline,13,101,3406
Kitchen Tools,Juicer,1747,2024-08-07 12:00:00,Ludhiana,Online,3,27,5241
Automotive,Car Perfume,262,2024-08-07 13:00:00,Chandigarh,Offline,5,194,1310
Home Decor,Wall Clock,966,2024-08-07 14:00:00,Delhi,Online,3,198,2898
Books,Fiction Novel,589,2024-08-07 15:00:00,Ludhiana,Online,8,57,4712
Stationery,Pen Pack,592,2024-08-07 16:00:00,Delhi,Online,2,166,1184
Automotive,Engine Oil,2198,2024-08-07 17:00:00,Delhi,Offline,2,36,4396
Footwear,Flip Flops,214,2024-08-07 18:00:00,Patiala,Online,10,44,2140
Stationery,Art Colors,1480,2024-08-07 19:00:00,Jalandhar,Online,3,114,4440
Furniture,TV Unit,6016,2024-08-07 20:00:00,Amritsar,Online,11,185,66176
Furniture,Bean Bag,1455,2024-08-07 21:00:00,Gurugram,Offline,13,78,18915
Toys & Games,Lego Set,5297,2024-08-07 22:00:00,Patiala,Online,9,130,47673
Gardening,Hose Pipe,587,2024-08-07 23:00:00,Gurugram,Online,3,88,1761
Furniture,Bookshelf,2794,2024-08-08 00:00:00,Jalandhar,Offline,7,81,19558
Toys & Games,Doll House,1661,2024-08-08 01:00:00,Mohali,Offline,6,33,9966
Fitness Gear,Treadmill,39457,2024-08-08 02:00:00,Ludhiana,Offline,10,196,394570
Fitness Gear,Resistance Bands,687,2024-08-08 03:00:00,Amritsar,Online,1,175,687
Electronics,Camera,133355,2024-08-08 04:00:00,Ludhiana,Offline,9,187,1200195
Women Clothing,Handbag,699,2024-08-08 05:00:00,Chandigarh,Offline,2,142,1398
Home Decor,Vase,643,2024-08-08 06:00:00,Gurugram,Online,2,79,1286
Kitchen Tools,Juicer,1747,2024-08-08 07:00:00,Ludhiana,Offline,11,129,19217
Books,Fiction Novel,589,2024-08-08 08:00:00,Patiala,Online,13,103,7657
Gardening,Watering Can,281,2024-08-08 09:00:00,Patiala,Offline,10,175,2810
Toys & Games,Action Figure,2000,2024-08-08 10:00:00,Chandigarh,Online,3,88,6000
Toys & Games,Lego Set,5297,2024-08-08 11:00:00,Jalandhar,Online,11,30,58267
Home Decor,Wall Clock,966,2024-08-08 12:00:00,Patiala,Offline,6,192,5796
Footwear,Sandals,1110,2024-08-08 13:00:00,Jalandhar,Offline,4,123,4440
Women Clothing,Jeans,1358,2024-08-08 14:00:00,Amritsar,Offline,8,20,10864
Women Clothing,Dress,2238,2024-08-08 15:00:00,Jalandhar,Online,1,151,2238
Automotive,Tyre Inflator,3495,2024-08-08 16:00:00,Gurugram,Offline,5,33,17475
Automotive,Car Vacuum,3527,2024-08-08 17:00:00,Jalandhar,Online,5,29,17635
Toys & Games,Doll House,1661,2024-08-08 18:00:00,Amritsar,Online,14,112,23254
Fitness Gear,Jump Rope,589,2024-08-08 19:00:00,Ludhiana,Offline,8,48,4712
Women Clothing,Skirt,516,2024-08-08 20:00:00,Amritsar,Online,5,73,2580
Automotive,Engine Oil,2198,2024-08-08 21:00:00,Jalandhar,Online,12,94,26376
Footwear,Sandals,1110,2024-08-08 22:00:00,Gurugram,Online,13,95,14430
Men Clothing,Kurta,471,2024-08-08 23:00:00,Gurugram,Offline,4,168,1884
Fitness Gear,Dumbbells,4152,2024-08-09 00:00:00,Chandigarh,Online,14,193,58128
Toys & Games,Lego Set,5297,2024-08-09 01:00:00,Jalandhar,Offline,8,115,42376
Automotive,Seat Cover,7258,2024-08-09 02:00:00,Gurugram,Online,12,62,87096
Kitchen Tools,Juicer,1747,2024-08-09 03:00:00,Noida,Offline,12,48,20964
Fitness Gear,Protein Shaker,405,2024-08-09 04:00:00,Chandigarh,Online,6,35,2430
Home Decor,Wall Painting,1146,2024-08-09 05:00:00,Amritsar,Online,2,34,2292
Furniture,TV Unit,6016,2024-08-09 06:00:00,Mohali,Online,10,159,60160
Women Clothing,Top,766,2024-08-09 07:00:00,Gurugram,Offline,14,140,10724
Electronics,Monitor,10433,2024-08-09 08:00:00,Patiala,Online,13,107,135629
Toys & Games,Lego Set,5297,2024-08-09 09:00:00,Noida,Online,1,23,5297
Gardening,Pruning Shears,1063,2024-08-09 10:00:00,Amritsar,Online,6,74,6378
Stationery,Whiteboard,2367,2024-08-09 11:00:00,Noida,Offline,13,69,30771
Gardening,Pruning Shears,1063,2024-08-09 12:00:00,Patiala,Online,5,189,5315
Women Clothing,Top,766,2024-08-09 13:00:00,Amritsar,Offline,5,74,3830
Home Decor,Wall Clock,966,2024-08-09 14:00:00,Patiala,Online,14,164,13524
Women Clothing,Dress,2238,2024-08-09 15:00:00,Gurugram,Online,8,30,17904
Men Clothing,Kurta,471,2024-08-09 16:00:00,Ludhiana,Online,7,157,3297
Gardening,Watering Can,281,2024-08-09 17:00:00,Ludhiana,Online,9,17,2529
Beauty & Personal Care,Hair Dryer,3061,2024-08-09 18:00:00,Jalandhar,Offline,2,57,6122
Stationery,Whiteboard,2367,2024-08-09 19:00:00,Gurugram,Online,5,183,11835
Footwear,Sneakers,848,2024-08-09 20:00:00,Chandigarh,Online,7,98,5936
Books,Academic,634,2024-08-09 21:00:00,Jalandhar,Online,4,57,2536
Electronics,Headphones,3391,2024-08-09 22:00:00,Gurugram,Online,14,29,47474
Women Clothing,Lehenga,9426,2024-08-09 23:00:00,Noida,Online,3,113,28278
Automotive,Engine Oil,2198,2024-08-10 00:00:00,Ludhiana,Online,11,152,24178
Footwear,Formal Shoes,1974,2024-08-10 01:00:00,Patiala,Online,5,199,9870
Fitness Gear,Jump Rope,589,2024-08-10 02:00:00,Ludhiana,Online,14,173,8246
Automotive,Tyre Inflator,3495,2024-08-10 03:00:00,Patiala,Online,11,32,38445
Women Clothing,Skirt,516,2024-08-10 04:00:00,Noida,Offline,2,80,1032
Gardening,Artificial Grass,716,2024-08-10 05:00:00,Amritsar,Offline,9,80,6444
Beauty & Personal Care,Perfume,3214,2024-08-10 06:00:00,Noida,Online,13,98,41782
Stationery,Pen Pack,592,2024-08-10 07:00:00,Noida,Online,14,106,8288
Electronics,Headphones,3391,2024-08-10 08:00:00,Amritsar,Online,14,140,47474
Home Decor,Vase,643,2024-08-10 09:00:00,Jalandhar,Online,13,191,8359
Women Clothing,Dress,2238,2024-08-10 10:00:00,Patiala,Online,6,50,13428
Home Decor,Vase,643,2024-08-10 11:00:00,Patiala,Online,1,139,643
Electronics,Headphones,3391,2024-08-10 12:00:00,Ludhiana,Offline,4,32,13564
Home Decor,Mirror,1840,2024-08-10 13:00:00,Chandigarh,Online,8,119,14720
Books,Children Story,463,2024-08-10 14:00:00,Noida,Online,4,144,1852
Beauty & Personal Care,Shampoo,441,2024-08-10 15:00:00,Ludhiana,Offline,10,149,4410
Automotive,Tyre Inflator,3495,2024-08-10 16:00:00,Patiala,Offline,10,53,34950
Men Clothing,Jeans,1235,2024-08-10 17:00:00,Ludhiana,Online,5,112,6175
Women Clothing,Lehenga,9426,2024-08-10 18:00:00,Amritsar,Offline,13,46,122538
Electronics,Smartwatch,2269,2024-08-10 19:00:00,Noida,Offline,3,197,6807
Gardening,Watering Can,281,2024-08-10 20:00:00,Chandigarh,Online,7,127,1967
Automotive,Microfiber Cloth,180,2024-08-10 21:00:00,Amritsar,Offline,11,69,1980
Kitchen Tools,Juicer,1747,2024-08-10 22:00:00,Gurugram,Online,4,113,6988
Gardening,Pruning Shears,1063,2024-08-10 23:00:00,Delhi,Offline,7,54,7441
Footwear,Sandals,1110,2024-08-11 00:00:00,Gurugram,Online,10,53,11100
Footwear,Sandals,1110,2024-08-11 01:00:00,Jalandhar,Offline,2,168,2220
Kitchen Tools,Toaster,1659,2024-08-11 02:00:00,Gurugram,Online,10,143,16590
Automotive,Tyre Inflator,3495,2024-08-11 03:00:00,Patiala,Online,12,60,41940
Women Clothing,Jeans,1358,2024-08-11 04:00:00,Mohali,Online,11,99,14938
Books,Academic,634,2024-08-11 05:00:00,Patiala,Offline,3,60,1902
Beauty & Personal Care,Lipstick,687,2024-08-11 06:00:00,Chandigarh,Online,1,59,687
Toys & Games,Doll House,1661,2024-08-11 07:00:00,Jalandhar,Online,12,198,19932
Electronics,Headphones,3391,2024-08-11 08:00:00,Jalandhar,Offline,2,104,6782
Stationery,Whiteboard,2367,2024-08-11 09:00:00,Mohali,Online,5,139,11835
Women Clothing,Top,766,2024-08-11 10:00:00,Gurugram,Online,10,64,7660
Electronics,Smartwatch,2269,2024-08-11 11:00:00,Gurugram,Online,9,43,20421
Kitchen Tools,Induction Cooktop,2021,2024-08-11 12:00:00,Chandigarh,Online,13,90,26273
Books,Cookbook,1455,2024-08-11 13:00:00,Gurugram,Offline,14,36,20370
Stationery,Backpack,1952,2024-08-11 14:00:00,Gurugram,Online,12,56,23424
Stationery,Calculator,514,2024-08-11 15:00:00,Noida,Offline,6,54,3084
Home Decor,Curtains,819,2024-08-11 16:00:00,Noida,Offline,14,173,11466
Electronics,Headphones,3391,2024-08-11 17:00:00,Delhi,Offline,10,197,33910
Books,Self-Help,391,2024-08-11 18:00:00,Ludhiana,Offline,9,64,3519
Kitchen Tools,Induction Cooktop,2021,2024-08-11 19:00:00,Noida,Offline,12,31,24252
Gardening,Seeds Pack,262,2024-08-11 20:00:00,Mohali,Offline,2,34,524
Stationery,Pen Pack,592,2024-08-11 21:00:00,Delhi,Online,8,46,4736
Men Clothing,Shorts,488,2024-08-11 22:00:00,Amritsar,Offline,11,60,5368
Stationery,Stapler,108,2024-08-11 23:00:00,Chandigarh,Offline,2,6,216
Fitness Gear,Dumbbells,4152,2024-08-12 00:00:00,Amritsar,Online,14,32,58128
Women Clothing,Skirt,516,2024-08-12 01:00:00,Patiala,Offline,9,25,4644
Fitness Gear,Dumbbells,4152,2024-08-12 02:00:00,Ludhiana,Offline,1,18,4152
Kitchen Tools,Kettle,1252,2024-08-12 03:00:00,Gurugram,Online,11,29,13772
Kitchen Tools,Kettle,1252,2024-08-12 04:00:00,Chandigarh,Online,1,178,1252
Gardening,Hose Pipe,587,2024-08-12 05:00:00,Delhi,Online,13,17,7631
Women Clothing,Saree,1021,2024-08-12 06:00:00,Mohali,Online,5,92,5105
Gardening,Pruning Shears,1063,2024-08-12 07:00:00,Ludhiana,Online,5,198,5315
Toys & Games,Doll House,1661,2024-08-12 08:00:00,Jalandhar,Online,11,131,18271
